,end_time,pkg_name,time_offset,start_time,floor,datauuid,update_time,create_time
336,2018-01-06 15:58:53.000,com.sec.android.app.shealth,UTC-0400,2018-01-06 15:58:17.000,2.0,a41203f3-0652-d5a5-8437-8c44184322c8,2018-01-06 16:09:54.204,2018-01-06 16:09:54.180
337,2018-03-14 09:08:57.000,com.sec.android.app.shealth,UTC-0300,2018-03-14 09:08:43.000,2.0,a491bb36-7b0f-99e7-a680-abd40fa1e440,2018-03-14 09:14:12.836,2018-03-14 09:14:12.820
338,2017-12-23 12:07:02.000,com.sec.android.app.shealth,UTC-0700,2017-12-23 12:06:33.000,1.0,a49d7cd4-3f7e-2dbf-6c84-ae020752e203,2017-12-23 12:22:55.798,2017-12-23 12:22:55.797
339,2018-04-02 15:40:49.000,com.sec.android.app.shealth,UTC-0300,2018-04-02 15:39:35.000,2.0,a50fa56c-e0c5-7d08-fb71-66c6a709fe0c,2018-04-02 15:42:20.098,2018-04-02 15:42:20.035
340,2018-01-19 15:40:54.000,com.sec.android.app.shealth,UTC-0400,2018-01-19 15:39:39.000,2.0,a511c6b5-c298-94d5-61ac-2311c64c786a,2018-01-19 15:46:33.994,2018-01-19 15:46:33.939
341,2018-03-28 14:54:10.000,com.sec.android.app.shealth,UTC-0300,2018-03-28 14:52:11.000,7.0,a5d652ed-0c70-106f-1094-e6fd5fac4e03,2018-03-28 14:54:25.574,2018-03-28 14:53:55.839
342,2018-04-11 21:01:28.000,com.sec.android.app.shealth,UTC-0300,2018-04-11 21:00:34.000,2.0,a6079729-ef0e-562a-ec50-03b32a9939c3,2018-04-11 22:01:06.032,2018-04-11 22:01:06.013
343,2018-01-20 16:37:03.000,com.sec.android.app.shealth,UTC-0400,2018-01-20 16:36:37.000,1.0,a661f4e3-855c-e7de-cfc7-f14bf4b9f996,2018-01-20 16:56:24.609,2018-01-20 16:56:24.609
344,2018-04-17 20:05:29.000,com.sec.android.app.shealth,UTC-0300,2018-04-17 20:05:11.000,1.0,a6978e75-d0cf-bb25-d306-30076b39881d,2018-04-17 20:10:10.985,2018-04-17 20:10:10.971
345,2018-01-11 09:13:42.000,com.sec.android.app.shealth,UTC-0400,2018-01-11 09:13:25.000,1.0,a6daeab7-c02e-e857-2433-7f1e0dbe821a,2018-01-11 09:22:55.091,2018-01-11 09:22:55.090
346,2018-03-11 16:30:03.000,com.sec.android.app.shealth,UTC-0300,2018-03-11 16:28:08.000,9.0,a81818e0-a4ce-e2f5-69ad-038edae755ec,2018-03-11 16:30:30.949,2018-03-11 16:30:30.818
347,2018-01-22 09:06:28.000,com.sec.android.app.shealth,UTC-0400,2018-01-22 09:05:00.000,3.0,a88645cb-9894-ac69-ba58-ad123aca9131,2018-01-22 09:07:55.066,2018-01-22 09:07:55.009
348,2018-02-21 17:04:52.000,com.sec.android.app.shealth,UTC-0400,2018-02-21 17:03:42.000,4.0,a8eb4ff4-e391-27c5-3a92-caac813461d6,2018-02-21 17:09:01.047,2018-02-21 17:09:00.972
349,2017-12-16 08:48:18.000,com.sec.android.app.shealth,UTC-0400,2017-12-16 08:46:12.000,9.0,a964f836-83e1-5a73-203c-23e66833a6f9,2017-12-16 08:48:49.079,2017-12-16 08:48:48.886
350,2018-01-16 08:11:13.000,com.sec.android.app.shealth,UTC-0400,2018-01-16 08:10:55.000,1.0,a9959ed8-ab48-1f08-7fd6-036f718b7120,2018-01-16 08:12:14.115,2018-01-16 08:12:14.103
351,2018-03-21 20:00:11.000,com.sec.android.app.shealth,UTC-0300,2018-03-21 19:59:41.000,1.0,abbf42f5-3858-49d7-21eb-99bb8b50ccb0,2018-03-21 20:10:38.134,2018-03-21 20:10:38.112
352,2017-12-23 12:05:24.000,com.sec.android.app.shealth,UTC-0700,2017-12-23 12:05:09.000,1.0,abe6f333-1efb-033a-fe53-a15b0062e914,2017-12-23 12:22:55.784,2017-12-23 12:22:55.784
353,2018-01-18 17:29:26.000,com.sec.android.app.shealth,UTC-0400,2018-01-18 17:29:04.000,1.0,abeb6528-46fd-ef97-195e-69d34b1b77a2,2018-01-18 17:37:01.667,2018-01-18 17:37:01.654
354,2018-02-16 08:26:06.000,com.sec.android.app.shealth,UTC-0400,2018-02-16 08:25:50.000,1.0,acfdf1d1-cdbb-e27d-69b3-e12888a763cb,2018-02-16 08:27:46.253,2018-02-16 08:27:46.224
355,2018-03-15 17:54:04.000,com.sec.android.app.shealth,UTC-0300,2018-03-15 17:52:22.000,8.0,ad6c4b5c-b7cd-1d4a-1a83-b839b5f176de,2018-03-15 18:50:06.886,2018-03-15 18:50:06.768
356,2018-02-20 19:48:18.000,com.sec.android.app.shealth,UTC-0400,2018-02-20 19:46:23.000,9.0,adebbd1a-0c4f-9a52-d95d-ca79fa6febf5,2018-02-20 19:48:45.070,2018-02-20 19:48:44.915
357,2018-03-07 20:09:01.000,com.sec.android.app.shealth,UTC-0400,2018-03-07 20:08:49.000,1.0,ae537a31-5944-9b84-c0fd-cd71a48d321f,2018-03-07 20:14:54.378,2018-03-07 20:14:54.377
358,2017-12-19 15:52:56.000,com.sec.android.app.shealth,UTC-0400,2017-12-19 15:51:20.000,9.0,ae969d5f-6d4f-fda9-9720-b49ad5aa57bb,2017-12-19 15:53:42.445,2017-12-19 15:53:42.291
359,2018-04-17 08:51:46.000,com.sec.android.app.shealth,UTC-0300,2018-04-17 08:51:31.000,1.0,aea6934f-8492-9fcf-7f5e-b5ed4824ef4f,2018-04-17 08:59:11.916,2018-04-17 08:59:11.915
360,2018-02-05 13:33:01.000,com.sec.android.app.shealth,UTC-0400,2018-02-05 13:32:49.000,1.0,aeb310a9-1cef-084e-1799-b70f2e7c5465,2018-02-05 13:57:33.927,2018-02-05 13:57:33.926
361,2018-01-18 06:55:30.000,com.sec.android.app.shealth,UTC-0400,2018-01-18 06:53:40.000,8.0,aeed07cc-ceb9-0d97-2ed9-0e6e93d74fb6,2018-01-18 06:55:31.632,2018-01-18 06:53:52.582
362,2018-03-25 14:25:37.000,com.sec.android.app.shealth,UTC-0300,2018-03-25 14:25:17.000,1.0,af9792ab-2671-e39c-6d2f-2d01b17c01c5,2018-03-25 14:27:44.166,2018-03-25 14:27:44.149
363,2017-12-31 22:24:13.000,com.sec.android.app.shealth,UTC-0700,2017-12-31 22:24:00.000,1.0,afb07580-7792-e1d6-ae11-43059ca9fa24,2017-12-31 22:29:21.926,2017-12-31 22:29:21.921
364,2018-02-04 19:40:39.000,com.sec.android.app.shealth,UTC-0400,2018-02-04 19:38:59.000,8.0,b089edcf-8374-0ded-f243-78b9e8a8c3f0,2018-02-04 19:40:50.046,2018-02-04 19:40:49.922
365,2017-12-29 15:39:07.000,com.sec.android.app.shealth,UTC-0700,2017-12-29 15:38:04.000,3.0,b08c3739-3ffb-2c6f-6593-2a16dacbea6d,2017-12-29 15:40:14.809,2017-12-29 15:40:14.738
366,2017-12-23 14:25:06.000,com.sec.android.app.shealth,UTC-0700,2017-12-23 14:24:51.000,1.0,b0d63f01-36a3-67ef-3f2a-8e1e1c3e390f,2017-12-23 14:28:06.792,2017-12-23 14:28:06.792
367,2017-12-20 13:44:35.000,com.sec.android.app.shealth,UTC-0700,2017-12-20 13:44:08.000,1.0,b168c73a-5056-a2de-b224-e60fe755a31a,2017-12-20 13:46:16.974,2017-12-20 13:46:16.974
368,2018-03-02 17:36:07.000,com.sec.android.app.shealth,UTC-0400,2018-03-02 17:35:58.000,1.0,b1d333c4-a8bc-a8cc-6708-ea1f01a9ece7,2018-03-02 17:40:09.042,2018-03-02 17:40:09.041
369,2018-03-05 17:51:39.000,com.sec.android.app.shealth,UTC-0400,2018-03-05 17:50:07.000,2.0,b3f5121a-4c4d-fdf8-f0a3-6856b5962868,2018-03-05 17:54:12.066,2018-03-05 17:54:12.015
370,2018-02-21 08:40:07.000,com.sec.android.app.shealth,UTC-0400,2018-02-21 08:38:39.000,3.0,b516f775-3d38-5374-1359-daf372643169,2018-02-21 08:40:23.693,2018-02-21 08:39:41.757
371,2018-04-28 16:51:08.000,com.sec.android.app.shealth,UTC-0300,2018-04-28 16:50:54.000,1.0,b57d5da0-18c0-b42b-efc0-7d170175a225,2018-04-28 17:01:17.961,2018-04-28 17:01:17.955
372,2018-04-20 07:58:39.000,com.sec.android.app.shealth,UTC-0300,2018-04-20 07:58:15.000,1.0,b62681f9-8387-25c4-3110-10bc790e2675,2018-04-20 08:33:46.681,2018-04-20 08:33:46.675
373,2018-02-26 16:22:04.000,com.sec.android.app.shealth,UTC-0400,2018-02-26 16:21:38.000,1.0,b685c731-0389-fd79-8b72-3c6799e54d5d,2018-02-26 16:34:22.620,2018-02-26 16:34:22.609
