create_time,longest_idle_time,score,extra_data,goal,calorie,run_time,deviceuuid,update_time,longest_active_time,day_time,walk_time,pkg_name,active_time,distance,others_time,step_count,datauuid
2017-10-06 04:11:55.973,37620000,0,11725d9c-fb50-4126-8f22-40ce75fb37c6.extra_data.json,-1,266.01004,47643,jQfnryI8/B,2017-10-06 23:55:02.244,1260000,1507248000000,3694371,com.sec.android.app.shealth,3742014,5011.27,0,6319,11725d9c-fb50-4126-8f22-40ce75fb37c6
2017-12-21 08:05:48.996,29400000,0,12149fff-26a2-4d69-9088-df22a6fc255c.extra_data.json,-1,634.68494,100922,jQfnryI8/B,2017-12-22 23:49:32.552,540000,1513814400000,8485794,com.sec.android.app.shealth,8898728,10551.463,312012,14133,12149fff-26a2-4d69-9088-df22a6fc255c
2016-07-19 07:00:38.967,30420000,118,122c7e33-2013-4cca-a673-e98301889ca3.extra_data.json,60,375.16995,153974,jQfnryI8/B,2016-07-20 05:55:00.642,540000,1468886400000,4153959,com.sec.android.app.shealth,4307933,5770.34,0,7340,122c7e33-2013-4cca-a673-e98301889ca3
2018-04-03 04:00:00.609,25380000,0,12c7fdf3-ba2e-4431-a690-b2b20784d742.extra_data.json,-1,543.259,68401,jQfnryI8/B,2018-04-05 11:18:38.494,1800000,1522713600000,4036317,com.sec.android.app.shealth,5904718,4798.7803,1800000,6443,12c7fdf3-ba2e-4431-a690-b2b20784d742
2017-12-19 05:53:59.636,36660000,0,13dc8639-41a9-4df1-a45e-0261d2723ba5.extra_data.json,-1,318.19992,23525,jQfnryI8/B,2017-12-20 17:14:15.429,1816330,1513641600000,2338024,com.sec.android.app.shealth,4177879,2673.9790000000003,1816330,4397,13dc8639-41a9-4df1-a45e-0261d2723ba5
2016-06-25 14:40:08.941,23340000,0,13e1bd86-10be-4c82-8725-1e556fd6706f.extra_data.json,-1,65.420006,24000,jQfnryI8/B,2016-06-25 14:40:08.941,60000,1464652800000,1153243,com.sec.android.app.shealth,1177243,1373.6802,0,1789,13e1bd86-10be-4c82-8725-1e556fd6706f
2018-03-14 04:00:00.831,23520000,0,140b51fd-aee2-4453-acd5-b29dd808e2b9.extra_data.json,-1,512.6685,112420,jQfnryI8/B,2018-03-15 17:56:59.614,757681,1520985600000,6988321,com.sec.android.app.shealth,7100741,8626.703000000001,0,11465,140b51fd-aee2-4453-acd5-b29dd808e2b9
2016-07-27 07:00:00.973,19080000,190,141af6e1-208f-4124-9f52-85f18ccaf455.extra_data.json,60,675.0801,478669,jQfnryI8/B,2016-07-28 04:34:01.538,960000,1469577600000,6464808,com.sec.android.app.shealth,6943477,10262.561,0,12546,141af6e1-208f-4124-9f52-85f18ccaf455
2017-06-01 04:00:02.992,56280000,0,14d9a43f-3881-4569-bf65-6b648ab019e8.extra_data.json,-1,99.93,8000,jQfnryI8/B,2017-06-02 00:00:22.976,180000,1496275200000,1494507,com.sec.android.app.shealth,1502507,1885.8099,0,2366,14d9a43f-3881-4569-bf65-6b648ab019e8
2017-03-15 04:00:01.745,31920000,0,14f1edb4-aaf0-4175-89d2-01ba96f3d13b.extra_data.json,-1,158.65997,2800,jQfnryI8/B,2017-03-16 01:59:28.289,360000,1489536000000,2329411,com.sec.android.app.shealth,2332211,2871.2795,0,3727,14f1edb4-aaf0-4175-89d2-01ba96f3d13b
2017-08-15 04:00:00.604,24540000,0,150f91b7-4bcf-4612-87ba-dbaef96b71de.extra_data.json,-1,331.85007,6859,jQfnryI8/B,2017-08-15 23:49:40.466,660000,1502755200000,4581117,com.sec.android.app.shealth,4587976,6079.2593,0,7803,150f91b7-4bcf-4612-87ba-dbaef96b71de
2017-08-01 04:09:36.721,40080000,0,15bee4d7-a466-4763-9f93-edfcea081f8b.extra_data.json,-1,110.829994,35505,jQfnryI8/B,2017-08-02 01:35:01.745,120000,1501545600000,1471794,com.sec.android.app.shealth,1507299,1939.7601,0,2405,15bee4d7-a466-4763-9f93-edfcea081f8b
