,end_time,start_time,count,calorie,update_time,speed,pkg_name,time_offset,distance,datauuid,create_time
0,2018-04-30 18:21:59.999,2018-04-30 18:21:00.000,101,4.29,2018-04-30 18:35:00.291,1.5277778,com.sec.android.app.shealth,UTC-0300,78.42,0001af94-3253-4fec-0efc-153d3a8a2441,2018-04-30 18:35:00.290
1,2018-04-13 19:47:59.999,2018-04-13 19:47:00.000,25,0.96,2018-04-13 19:55:00.251,1.0277778,com.sec.android.app.shealth,UTC-0300,14.36,0001c2a5-c751-4c86-456f-179d46bd29a9,2018-04-13 19:55:00.251
2,2018-04-02 10:01:59.999,2018-04-02 10:01:00.000,38,1.53,2018-04-02 10:14:58.210,1.1944443999999999,com.sec.android.app.shealth,UTC-0300,24.19,0003c0db-c795-1f80-17a4-582751b3a2ba,2018-04-02 10:14:58.209
3,2018-04-27 10:52:59.999,2018-04-27 10:52:00.000,35,1.45,2018-04-27 10:55:01.281,1.5,com.sec.android.app.shealth,UTC-0300,27.45,0006c29c-72a3-b207-069e-b098a9f96252,2018-04-27 10:55:01.280
4,2018-04-21 13:47:00.000,2018-04-21 13:46:00.000,0,0.0,2018-04-21 13:46:36.801,0.0,com.sec.android.app.shealth,UTC-0300,0.0,001e163d-0af5-4e9a-b7c9-a9ceb6ca5e8c,2018-04-21 13:46:36.801
5,2018-04-01 08:31:00.000,2018-04-01 08:30:00.000,34,1.82,2018-04-01 08:35:05.481,2.2222223,com.sec.android.app.shealth,UTC-0300,30.26,002e1b20-fc3f-47d9-952d-fd27af36c925,2018-04-01 08:35:05.481
6,2018-04-29 18:44:00.000,2018-04-29 18:43:00.000,8,0.34,2018-04-29 18:55:01.476,1.3611111999999999,com.sec.android.app.shealth,UTC-0300,6.31,00301400-1f91-494f-a4f9-0d8c2a59c91b,2018-04-29 18:55:01.476
7,2018-04-09 08:30:59.999,2018-04-09 08:30:00.000,92,3.87,2018-04-09 08:32:42.712,1.4444443999999999,com.sec.android.app.shealth,UTC-0300,70.32,003676e0-bc74-ddc5-d8b6-1b7efb1b502f,2018-04-09 08:32:42.711
8,2018-04-07 15:04:00.000,2018-04-07 15:03:00.000,21,0.91,2018-04-07 15:06:36.477,2.0555556,com.sec.android.app.shealth,UTC-0300,17.63,003a0915-1bc2-4f62-a5e2-18a70a231b32,2018-04-07 15:06:36.477
9,2018-04-12 19:03:00.000,2018-04-12 19:02:00.000,111,4.44,2018-04-12 19:14:59.507,1.5,com.sec.android.app.shealth,UTC-0300,87.66,00470fd1-e6a4-46e2-8684-8aec4604579e,2018-04-12 19:14:59.507
10,2018-04-18 07:04:00.000,2018-04-18 07:03:00.000,65,2.6499991,2018-04-18 07:04:02.147,1.5833538,com.sec.android.app.shealth,UTC-0300,50.959995,00474996-e145-4990-9f31-c6c973e19f3c,2018-04-18 07:03:30.303
11,2018-04-17 12:31:59.999,2018-04-17 12:31:00.000,69,3.03,2018-04-17 12:35:00.378,1.4722222,com.sec.android.app.shealth,UTC-0300,54.18,004bdc3c-e41c-56d3-61cd-5fec4574ce5d,2018-04-17 12:35:00.377
12,2018-04-19 08:02:00.000,2018-04-19 08:01:00.000,89,3.79,2018-04-19 08:04:34.739,1.3333334,com.sec.android.app.shealth,UTC-0300,67.8,00588cb1-5af6-4766-af3b-f2f0eb8384d2,2018-04-19 08:04:34.739
13,2018-04-17 20:58:00.000,2018-04-17 20:57:00.000,108,5.02,2018-04-17 21:10:10.111,1.4444443999999999,com.sec.android.app.shealth,UTC-0300,75.34,0058919c-1c58-442e-9144-1f3a9040e50c,2018-04-17 21:10:10.111
14,2018-04-14 15:43:59.999,2018-04-14 15:43:00.000,49,2.14,2018-04-14 15:51:34.063,1.5,com.sec.android.app.shealth,UTC-0300,37.86,005ce2dc-0047-0c1e-5ba8-8626806ffd5f,2018-04-14 15:51:34.062
15,2018-04-01 00:04:59.999,2018-04-01 00:04:00.000,92,3.95,2018-04-01 00:15:02.270,1.4166666,com.sec.android.app.shealth,UTC-0300,70.46,006e1798-0dcc-db86-41f5-0ebcbf3c75f6,2018-04-01 00:15:02.269
16,2018-04-08 13:02:00.000,2018-04-08 13:01:00.000,112,4.53,2018-04-08 13:03:15.620,1.4564999,com.sec.android.app.shealth,UTC-0300,87.39,00745022-30f0-4b94-8fd0-430b2a4e2cd9,2018-04-08 13:03:15.620
17,2018-04-15 18:27:59.999,2018-04-15 18:27:00.000,80,3.3,2018-04-15 18:35:00.228,1.4166666,com.sec.android.app.shealth,UTC-0300,58.82,00883cd9-d207-fc6c-aad5-6c96aa03a028,2018-04-15 18:35:00.227
18,2018-04-23 20:53:59.999,2018-04-23 20:53:00.000,14,0.58,2018-04-23 20:55:00.259,1.5555556000000001,com.sec.android.app.shealth,UTC-0300,10.73,00a4ff38-5d40-fd20-639e-f05c7230bc8c,2018-04-23 20:55:00.258
19,2018-04-11 07:49:59.999,2018-04-11 07:49:00.000,18,0.77,2018-04-11 07:55:01.246,1.5833334,com.sec.android.app.shealth,UTC-0300,14.0,00ae0b82-e311-f63e-cf7b-92e2354c8dcb,2018-04-11 07:55:01.246
20,2018-04-13 08:33:00.000,2018-04-13 08:32:00.000,19,0.8,2018-04-13 08:35:00.704,1.3888888000000001,com.sec.android.app.shealth,UTC-0300,14.63,00b45f23-4f73-4f32-ac75-1674787259e1,2018-04-13 08:35:00.704
21,2018-04-30 12:54:00.000,2018-04-30 12:53:00.000,53,2.39,2018-04-30 12:54:03.328,1.1388888000000001,com.sec.android.app.shealth,UTC-0300,39.39,00b6e263-ad8a-4ed8-a589-5b12b0001f17,2018-04-30 12:54:03.328
22,2018-04-18 11:16:59.999,2018-04-18 11:16:00.000,25,1.05,2018-04-18 11:35:00.184,1.5833334,com.sec.android.app.shealth,UTC-0300,17.88,00b83d15-cba3-576b-ed0f-7fc14756a842,2018-04-18 11:35:00.183
